1
1	YOU ARE STANDING AT THE END OF A ROAD
1	BEFORE A SMALL BRICK BUILDING. AROUND
1	YOU IS A FOREST.  A SMALL STREAM FLOWS
1	OUT OF THE BUILDING AND DOWN A GULLY.
2	YOU HAVE WALKED UP A HILL, STILL IN THE
2	FOREST.  THE ROAD SLOPES BACK DOWN THE
2	OTHER SIDE OF THE HILL.  THERE IS A
2	BUILDING IN THE DISTANCE.
3	YOU ARE INSIDE A BUILDING, A WELL HOUSE
3	FOR A LARGE SPRING.
4	YOU ARE IN A VALLEY IN THE FOREST
4	BESIDE A STREAM TUMBLING ALONG A ROCKY
4	BED.
5	YOU ARE IN OPEN FOREST, WITH A DEEP
5	VALLEY TO ONE SIDE.
6	YOU ARE IN OPEN FOREST NEAR BOTH A
6	VALLEY AND A ROAD.
7	AT YOUR FEET ALL THE WATER OF THE
7	STREAM SPLASHES INTO A 2-INCH SLIT
7	IN THE ROCK.  DOWNSTREAM THE STREAMBED
7	IS BARE ROCK.
8	YOU ARE IN A 20-FOOT DEPRESSION FLOORED
8	WITH BARE DIRT.  SET INTO THE DIRT IS A
8	STRONG STEEL GRATE MOUNTED IN CONCRETE.
8	A DRY STREAMBED LEADS INTO THE
8	DEPRESSION.
9	YOU ARE IN A SMALL CHAMBER BENEATH A
9	3X3 STEEL GRATE TO THE SURFACE. A LOW
9	CRAWL OVER COBBLES LEADS INWARD TO THE
9	WEST.
10	YOU ARE CRAWLING OVER COBBLES IN A LOW
10	PASSAGE.  THERE IS A DIM LIGHT AT THE
10	EAST END OF THE PASSAGE.
11	YOU ARE IN A DEBRIS ROOM FILLED WITH
11	STUFF WASHED IN FROM THE SURFACE. A LOW
11	WIDE PASSAGE WITH COBBLES BECOMES
11	PLUGGED WITH MUD AND DEBRIS HERE, BUT
11	AN AWKWARD CANYON LEADS UPWARD AND
11	WEST.  A NOTE ON THE WALL SAYS:
11	"MAGIC WORD XYZZY".
12	YOU ARE IN AN AWKWARD SLOPING EAST/WEST
12	CANYON.
13	YOU ARE IN A SPLENDID CHAMBER THIRTY
13	FEET HIGH.  THE WALLS ARE FROZEN RIVERS
13	OF ORANGE STONE.  AN AWKWARD CANYON AND
13	A GOOD PASSAGE EXIT FROM EAST AND WEST
13	SIDES OF THE CHAMBER.
14	AT YOUR FEET IS A SMALL PIT BREATHING
14	TRACES OF WHITE MIST.  AN EAST PASSAGE
14	ENDS HERE EXCEPT FOR A SMALL CRACK
14	LEADING ON.
15	YOU ARE AT ONE END OF A VAST HALL
15	STRETCHING FORWARD OUT OF SIGHT TO THE
15	WEST.  THERE ARE OPENINGS TO EITHER
15	SIDE.  NEARBY, A WIDE STONE STAIRCASE
15	LEADS DOWNWARD.  THE HALL IS FILLED
15	WITH WISPS OF WHITE MIST SWAYING TO AND
15	FRO ALMOST AS IF ALIVE.  A COLD WIND
15	BLOWS UP THE STAIRCASE.  THERE IS A
15	PASSAGE AT THE TOP OF A DOME BEHIND
15	YOU.
16	THE CRACK IS FAR TOO SMALL FOR YOU TO
16	FOLLOW.
17	YOU ARE ON THE EAST BANK OF A FISSURE
17	SLICING CLEAR ACROSS THE HALL.  THE
17	MIST IS QUITE THICK HERE, AND THE
17	FISSURE IS TOO WIDE TO JUMP.
18	THIS IS A LOW ROOM WITH A CRUDE NOTE ON
18	THE WALL.  THE NOTE SAYS, "YOU WON'T
18	GET IT UP THE STEPS".
19	YOU ARE IN THE HALL OF THE MOUNTAIN
19	KING, WITH PASSAGES OFF IN ALL
19	DIRECTIONS.
20	YOU ARE AT THE BOTTOM OF THE PIT WITH
20	A BROKEN NECK.
21	YOU DIDN'T MAKE IT.
22	THE DOME IS UNCLIMBABLE.
23	YOU ARE AT THE WEST END OF THE TWOPIT
23	ROOM.  THERE IS A LARGE HOLE IN THE
23	WALL ABOVE THE PIT AT THIS END OF THE
23	ROOM.
24	YOU ARE AT THE BOTTOM OF THE EASTERN
24	PIT IN THE TWOPIT ROOM.  THERE IS A
24	SMALL POOL OF OIL IN ONE CORNER OF THE
24	PIT.
25	YOU ARE AT THE BOTTOM OF THE WESTERN
25	PIT IN THE TWOPIT ROOM.  THERE IS A
25	LARGE HOLE IN THE WALL ABOUT 25 FEET
25	ABOVE YOU.
26	YOU CLAMBER UP THE PLANT AND SCURRY
26	THROUGH THE HOLE AT THE TOP.
27	YOU ARE ON THE WEST SIDE OF THE FISSURE
27	IN THE HALL OF MISTS.
28	YOU ARE IN A LOW N/S PASSAGE AT A HOLE
28	IN THE FLOOR.  THE HOLE GOES DOWN TO AN
28	E/W PASSAGE.
29	YOU ARE IN THE SOUTH SIDE CHAMBER.
30	YOU ARE IN THE WEST SIDE CHAMBER OF THE
30	HALL OF THE MOUNTAIN KING.  A PASSAGE
30	CONTINUES WEST AND UP HERE.
31	>$<
32	YOU CAN'T GET BY THE SNAKE.
33	YOU ARE IN A LARGE ROOM, WITH A PASSAGE
33	TO THE SOUTH, A PASSAGE TO THE WEST,
33	AND A WALL OF BROKEN ROCK TO THE EAST.
33	THERE IS A LARGE "Y2" ON A ROCK IN THE
33	ROOM'S CENTER.
34	YOU ARE IN A JUMBLE OF ROCK, WITH
34	CRACKS EVERYWHERE.
35	YOU'RE AT A LOW WINDOW OVERLOOKING A
35	HUGE PIT, WHICH EXTENDS UP OUT OF
35	SIGHT.  A FLOOR IS INDISTINCTLY VISIBLE
35	OVER 50 FEET BELOW.  TRACES OF WHITE
35	MIST COVER THE FLOOR OF THE PIT,
35	BECOMING THICKER TO THE RIGHT.  MARKS
35	IN THE DUST AROUND THE WINDOW WOULD
35	SEEM TO INDICATE THAT SOMEONE HAS BEEN
35	HERE RECENTLY.  DIRECTLY ACROSS THE PIT
35	FROM YOU AND 25 FEET AWAY THERE IS A
35	SIMILAR WINDOW LOOKING INTO A LIGHTED
35	ROOM.  A SHADOWY FIGURE CAN BE SEEN
35	THERE PEERING BACK AT YOU.
36	YOU ARE IN A DIRTY BROKEN PASSAGE.  TO
36	THE EAST IS A CRAWL.  TO THE WEST IS A
36	LARGE PASSAGE.  ABOVE YOU IS A HOLE TO
36	ANOTHER PASSAGE.
37	YOU ARE ON THE BRINK OF A SMALL CLEAN
37	CLIMBABLE PIT.  A CRAWL LEADS WEST.
38	YOU ARE IN THE BOTTOM OF A SMALL PIT
38	WITH A LITTLE STREAM, WHICH ENTERS AND
38	EXITS THROUGH TINY SLITS.
39	YOU ARE IN A LARGE ROOM FULL OF DUSTY
39	ROCKS.  THERE IS A BIG HOLE IN THE
39	FLOOR.  THERE ARE CRACKS EVERYWHERE,
39	AND A PASSAGE LEADING EAST.
40	YOU HAVE CRAWLED THROUGH A VERY LOW
40	WIDE PASSAGE PARALLEL TO AND NORTH OF
40	THE HALL OF MISTS.
41	YOU ARE AT THE WEST END OF HALL OF
41	MISTS.  A LOW WIDE CRAWL CONTINUES WEST
41	AND ANOTHER GOES NORTH.  TO THE SOUTH
41	IS A LITTLE PASSAGE 6 FEET OFF THE
41	FLOOR.
42	YOU ARE IN A MAZE OF TWISTY LITTLE
42	PASSAGES, ALL ALIKE.
43	YOU ARE IN A MAZE OF TWISTY LITTLE
43	PASSAGES, ALL ALIKE.
44	YOU ARE IN A MAZE OF TWISTY LITTLE
44	PASSAGES, ALL ALIKE.
45	YOU ARE IN A MAZE OF TWISTY LITTLE
45	PASSAGES, ALL ALIKE.
46	DEAD END
47	DEAD END
48	DEAD END
49	YOU ARE IN A MAZE OF TWISTY LITTLE
49	PASSAGES, ALL ALIKE.
50	YOU ARE IN A MAZE OF TWISTY LITTLE
50	PASSAGES, ALL ALIKE.
51	YOU ARE IN A MAZE OF TWISTY LITTLE
51	PASSAGES, ALL ALIKE.
52	YOU ARE IN A MAZE OF TWISTY LITTLE
52	PASSAGES, ALL ALIKE.
53	YOU ARE IN A MAZE OF TWISTY LITTLE
53	PASSAGES, ALL ALIKE.
54	DEAD END
55	YOU ARE IN A MAZE OF TWISTY LITTLE
55	PASSAGES, ALL ALIKE.
56	DEAD END
57	YOU ARE ON THE BRINK OF A THIRTY FOOT
57	PIT WITH A MASSIVE ORANGE COLUMN DOWN
57	ONE WALL.  YOU COULD CLIMB DOWN HERE
57	BUT YOU COULD NOT GET BACK UP.  THE
57	MAZE CONTINUES AT THIS LEVEL.
58	DEAD END
59	YOU HAVE CRAWLED THROUGH A VERY LOW
59	WIDE PASSAGE PARALLEL TO AND NORTH OF
59	THE HALL OF MISTS.
60	YOU ARE AT THE EAST END OF A VERY LONG
60	HALL APPARENTLY WITHOUT SIDE CHAMBERS.
60	TO THE EAST A LOW WIDE CRAWL SLANTS UP.
60	TO THE NORTH A ROUND TWO FOOT HOLE
60	SLANTS DOWN.
61	YOU ARE AT THE WEST END OF A VERY LONG
61	FEATURELESS HALL.  THE HALL JOINS UP
61	WITH A NARROW NORTH/SOUTH PASSAGE.
62	YOU ARE AT A CROSSOVER OF A HIGH N/S
62	PASSAGE AND A LOW E/W ONE.
63	DEAD END
64	YOU ARE AT A COMPLEX JUNCTION.  A LOW
64	HANDS AND KNEES PASSAGE FROM THE NORTH
64	JOINS A HIGHER CRAWL FROM THE EAST TO
64	MAKE A WALKING PASSAGE
64	GOING WEST.  THERE IS ALSO A LARGE ROOM
64	ABOVE.  THE AIR IS DAMP HERE.  YOU ARE
64	IN BEDQUILT, A LONG EAST/WEST PASSAGE
64	WITH HOLES EVERYWHERE.
65	TO EXPLORE AT RANDOM SELECT NORTH,
65	SOUTH, UP, OR DOWN.
66	YOU ARE IN A ROOM WHOSE WALLS RESEMBLE
66	SWISS CHEESE.  OBVIOUS PASSAGES GO
66	WEST, EAST, NE, AND NW.  PART OF THE
66	ROOM IS OCCUPIED BY A LARGE BEDROCK
66	BLOCK.
67	YOU ARE AT THE EAST END OF THE TWOPIT
67	ROOM.  THE FLOOR HERE IS LITTERED WITH
67	THIN ROCK SLABS, WHICH MAKE IT EASY TO
67	DESCEND THE PITS.  THERE IS A PATH HERE
67	BYPASSING THE PITS TO CONNECT PASSAGES
67	FROM EAST AND WEST.  THERE ARE HOLES
67	ALL OVER, BUT THE ONLY BIG ONE IS ON
67	THE WALL DIRECTLY OVER THE WEST PIT
67	WHERE YOU CAN'T GET TO IT.
68	YOU ARE IN A LARGE LOW CIRCULAR CHAMBER
